hour,count
12,13389
14,11868
13,11289
18,16817
9,10223
19,17381
15,21816
17,17534
6,6877
16,16672
20,7556
23,4303
10,9829
4,4557
22,5701
2,3629
5,4701
7,9006
8,9806
11,11988
21,6586
3,3945
0,3959
1,3590
