hour,count
12,27739
14,36940
13,26706
18,139791
20,13533
6,13303
9,21259
16,201064
15,190929
17,264093
19,133473
23,5676
10,21753
2,5294
4,7949
5,9435
22,8136
11,26595
7,18144
3,6086
8,17591
21,8417
0,5064
1,4843
