hour,count
18,33528
13,36268
12,49809
14,33128
9,8622
16,38199
6,6088
17,20665
20,10075
19,45155
15,44119
23,3022
10,16703
5,4075
22,4606
4,3581
2,1789
7,7557
11,54130
8,7847
1,1611
21,5701
3,2428
0,1915
