hour,count
14,1348
12,793
18,3665
13,832
9,280
17,2010
6,194
15,3916
20,368
16,4185
19,3495
23,117
5,125
2,67
4,111
10,493
22,137
8,245
1,54
7,198
11,589
0,69
3,71
21,149
