hour,count
18,12086
13,10398
14,12278
12,13726
20,4766
15,32609
9,5754
16,14227
19,7763
17,14102
23,1997
6,1662
10,7708
22,3250
2,603
4,651
5,911
0,1322
8,4584
1,805
11,10475
3,499
21,3654
7,3292
